                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9571,                 3.3284,                 2.6268,                0.01087,                      1,                0.03685,                0.01215,                 2.9003,                 4.7164,                  4.936,                      0,                      0,                      0
                      2,                 2.3556,                 4.5301,                 2.6961,                0.01064,                      1,                0.03827,                0.01058,                 3.0413,                  4.672,                 4.7971,             1.3583e-05,             1.3583e-05,             1.3583e-05
                      3,                 3.2401,                 3.8043,                 4.0521,                0.01087,                      1,                0.04975,                 0.0146,                 3.1234,                  4.228,                 4.8726,             2.5751e-05,             2.5751e-05,             2.5751e-05
                      4,                  1.786,                 3.7046,                  2.697,                0.01099,                      1,                0.04523,                0.00963,                 3.1629,                 4.0829,                 5.0747,             3.6504e-05,             3.6504e-05,             3.6504e-05
                      5,                 3.0189,                 4.8827,                 4.3094,                0.01111,                      1,                0.05528,                0.01063,                 3.2189,                 4.2675,                 5.0962,             4.5842e-05,             4.5842e-05,             4.5842e-05
                      6,                 2.4393,                 3.0841,                 3.0015,                0.01099,                      1,                0.07107,                0.01457,                 3.0875,                 4.7258,                 5.0361,             5.3766e-05,             5.3766e-05,             5.3766e-05
                      7,                 1.8722,                  5.315,                 2.4273,                0.01099,                      1,                0.08292,                0.02144,                 3.0608,                 4.7835,                 5.0386,             6.0275e-05,             6.0275e-05,             6.0275e-05
                      8,                 2.5656,                 2.8777,                 2.8676,                0.01075,                      1,                0.12437,                0.02488,                 3.1337,                 4.3068,                 4.9638,              6.537e-05,              6.537e-05,              6.537e-05
                      9,                 2.2289,                 3.4835,                 2.5825,                0.01075,                      1,                0.12437,                0.02488,                 3.1337,                 4.3068,                 4.9638,             6.9049e-05,             6.9049e-05,             6.9049e-05
                     10,                 3.3456,                 3.9801,                 3.4095,                0.01124,                      1,                0.14214,                 0.0334,                 2.8927,                 4.6532,                 4.6516,             7.1314e-05,             7.1314e-05,             7.1314e-05
                     11,                 2.3622,                 3.9519,                 3.4308,                0.01124,                      1,                0.14214,                 0.0334,                 2.8927,                 4.6532,                 4.6516,             7.2164e-05,             7.2164e-05,             7.2164e-05
                     12,                 2.2653,                 4.2932,                  2.897,                0.01149,                      1,                  0.199,                0.04678,                 2.5652,                 5.3252,                 4.5649,               7.16e-05,               7.16e-05,               7.16e-05
                     13,                 2.2715,                 3.6032,                  2.975,                0.01149,                      1,                  0.199,                0.04678,                 2.5652,                 5.3252,                 4.5649,             6.9621e-05,             6.9621e-05,             6.9621e-05
                     14,                 2.1432,                 3.4369,                 2.7092,                0.01176,                      1,                0.16583,                0.02027,                 2.7859,                  4.984,                 4.8664,             6.6227e-05,             6.6227e-05,             6.6227e-05
                     15,                 2.3611,                 4.1631,                 3.4003,                0.01176,                      1,                0.16583,                0.02027,                 2.7859,                  4.984,                 4.8664,             6.1418e-05,             6.1418e-05,             6.1418e-05
                     16,                 2.1842,                 3.5787,                 2.3904,                0.01163,                      1,                0.16583,                0.01951,                 2.9009,                 4.9745,                 4.9636,             5.5195e-05,             5.5195e-05,             5.5195e-05
                     17,                   2.33,                 3.9793,                 3.0209,                0.01163,                      1,                0.16583,                0.01951,                 2.9009,                 4.9745,                 4.9636,             4.7557e-05,             4.7557e-05,             4.7557e-05
                     18,                 3.0386,                 5.4037,                 3.3573,                0.01124,                      1,                0.16583,                0.01658,                 3.0369,                 4.6125,                 5.2506,             3.8504e-05,             3.8504e-05,             3.8504e-05
                     19,                 3.0572,                  3.888,                 3.0001,                0.01124,                      1,                0.16583,                0.01658,                 3.0369,                 4.6125,                 5.2506,             2.8037e-05,             2.8037e-05,             2.8037e-05
                     20,                 2.2021,                   3.32,                 2.4907,                0.01163,                      1,                0.16583,                0.02014,                 3.2383,                 3.6803,                 5.6269,             1.6155e-05,             1.6155e-05,             1.6155e-05
